Primary kV,Secondary kV,SKU,Primary Voltage,KVA,%Z,X/R,Full load loss [kW],No load loss [kW],Secondary Voltage,Feed,Config.,Bushing Qty,Winding,LBOR,Housing,Pri. BIL,Freq.,Cooling
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R5-1P-GMW-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R7-1P-GNN-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,22860GrdY/13200 Primary - 240/120V Secondary,MT-PML-R5-1P-GNN-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,22860GrdY/13200,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R7-1P-GMA-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,34500GrdY/19920 Primary - 240/120V Secondary,MT-PML-R5-1P-GMA-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,34500GrdY/19920,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMD-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMD-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
35 kV,27600GrdY/16000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMD-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,27600GrdY/16000,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,150 Kv,60 Hz,KNAN
